Type,Start,End,Duration,Total Energy (kJ),Active Energy (kJ),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (km),Avg Speed(km/hr),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (m),Elevation Descended (m)
Running,2023-10-01 09:50,2023-10-01 10:47,00:54:53,4358,3740,172,156.64,9.25,10.11,8476,2.57,,,20.0,86.19,
Traditional Strength Training,2023-09-30 10:13,2023-09-30 11:49,01:36:08,3272,2409,149,96.21,,,595,0.103,,,,,
Traditional Strength Training,2023-09-29 16:40,2023-09-29 18:36,01:55:34,5923,4822,166,123.9,,,817,0.118,,,,,
Traditional Strength Training,2023-09-28 07:13,2023-09-28 08:20,01:06:34,2903,2244,159,115.23,,,780,0.195,,,,,
Running,2023-09-27 18:14,2023-09-27 18:37,00:22:25,1369,1074,174,143.16,2.76,7.39,2674,1.99,,,16.0,57.03,
Running,2023-09-27 06:38,2023-09-27 06:54,00:15:18,1163,1026,171,140.67,2.71,10.6,2323,2.53,,,14.0,41.28,
Traditional Strength Training,2023-09-26 06:55,2023-09-26 08:15,01:19:41,3152,2390,153,107.25,,,932,0.195,,,,,
Traditional Strength Training,2023-09-25 07:04,2023-09-25 08:24,01:19:25,2919,2156,148,106.57,,,871,0.183,,,,,
Cycling,2023-09-25 06:50,2023-09-25 07:04,00:13:43,546.62,433.75,133,101.85,1.15,5.04,117,0.142,,,4.0,,
Running,2023-09-24 09:43,2023-09-24 10:00,00:17:25,398.04,245.49,176,119.95,0.444,1.53,594,0.568,,,,20.1,
Running,2023-09-24 09:04,2023-09-24 09:43,00:38:00,2891,2563,178,160.79,6.03,9.51,5761,2.53,,,33.0,115.94,
Traditional Strength Training,2023-09-23 07:54,2023-09-23 09:52,01:58:23,4462,3411,169,103.48,,,2326,0.327,,,,,
Running,2023-09-23 07:46,2023-09-23 07:54,00:08:17,474.74,403.72,158,134.55,1.01,7.3,853,1.71,,,4.0,14.89,
Running,2023-09-19 17:56,2023-09-19 18:11,00:14:06,943.58,821.99,173,149.31,2.09,8.89,2076,2.45,,,14.0,48.51,
Traditional Strength Training,2023-09-19 07:17,2023-09-19 08:17,00:59:40,2353,1747,154,107.09,,,1032,0.288,,,,,
Traditional Strength Training,2023-09-18 07:51,2023-09-18 08:29,00:38:35,1725,1282,150,113.4,,,533,0.23,,,,,
Walking,2023-09-17 00:56,2023-09-17 03:15,02:19:08,8304,7119,164,150.01,10.92,4.71,12844,1.54,,,,,
Running,2023-09-16 13:46,2023-09-16 14:08,00:21:46,1833,1523,181,155.34,3.88,10.7,3352,2.57,,,19.0,65.28,
